,Label,Temperature [°C],NaOH Concentration [mM],Mg++ Concentration [mM],Seed Volume Fraction [m^3 mineral/m^3 medium],Carbonation_Percentage,Reaction_Rate
2145,Run_2146,40.0,300.0,550.0,1e-09,100.0,32075.97989532847
2146,Run_2147,40.0,300.0,550.0,1e-08,100.0,32189.839581139662
2147,Run_2148,40.0,300.0,550.0,1e-07,100.0,32279.794401845196
2148,Run_2149,40.0,300.0,550.0,1e-06,100.0,32334.82586311004
2149,Run_2150,40.0,300.0,550.0,1e-05,100.0,32379.093632953765
2150,Run_2151,40.0,300.0,550.0,0.0001,100.0,32385.59281225661
2151,Run_2152,40.0,300.0,550.0,0.0032,100.0,32321.107878272647
2152,Run_2153,40.0,300.0,660.0,1e-10,100.0,38505.18261617912
2153,Run_2154,40.0,300.0,660.0,1e-09,100.0,38570.34135974363
2154,Run_2155,40.0,300.0,660.0,1e-08,100.0,38711.74510105372
2155,Run_2156,40.0,300.0,660.0,1e-07,100.0,38792.26934827756
2156,Run_2157,40.0,300.0,660.0,1e-06,100.0,38823.33432865078
2157,Run_2158,40.0,300.0,660.0,1e-05,100.0,38884.78084477239
2158,Run_2159,40.0,300.0,660.0,0.0001,100.0,38891.65428876373
2159,Run_2160,40.0,300.0,660.0,0.0032,100.0,38808.320742662625
2224,Run_2225,40.0,400.0,550.0,1e-10,100.0,31972.229665931038
2225,Run_2226,40.0,400.0,550.0,1e-09,100.0,32011.601529401618
2226,Run_2227,40.0,400.0,550.0,1e-08,100.0,32200.062443460276
2227,Run_2228,40.0,400.0,550.0,1e-07,100.0,32243.65710855183
2228,Run_2229,40.0,400.0,550.0,1e-06,100.0,32313.771566823696
2229,Run_2230,40.0,400.0,550.0,1e-05,100.0,32367.964848677617
2230,Run_2231,40.0,400.0,550.0,0.0001,100.0,32371.574226230565
2231,Run_2232,40.0,400.0,550.0,0.0032,100.0,32325.307295298175
2232,Run_2233,40.0,400.0,660.0,1e-10,100.0,38498.798085360264
2233,Run_2234,40.0,400.0,660.0,1e-09,100.0,38594.75129709679
2234,Run_2235,40.0,400.0,660.0,1e-08,100.0,38742.106857879604
2235,Run_2236,40.0,400.0,660.0,1e-07,100.0,38728.56671452844
2236,Run_2237,40.0,400.0,660.0,1e-06,100.0,38866.954622834724
2237,Run_2238,40.0,400.0,660.0,1e-05,100.0,38873.344632669025
2238,Run_2239,40.0,400.0,660.0,0.0001,100.0,38884.01348854747
2239,Run_2240,40.0,400.0,660.0,0.0032,100.0,38798.53551683049
2304,Run_2305,40.0,500.0,550.0,1e-10,100.0,31982.560641184904
2305,Run_2306,40.0,500.0,550.0,1e-09,100.0,31916.005653902583
2306,Run_2307,40.0,500.0,550.0,1e-08,100.0,32191.630682042454
2307,Run_2308,40.0,500.0,550.0,1e-07,100.0,32277.67941761126
2308,Run_2309,40.0,500.0,550.0,1e-06,100.0,32294.153020793383
2309,Run_2310,40.0,500.0,550.0,1e-05,100.0,32361.220101177572
2310,Run_2311,40.0,500.0,550.0,0.0001,100.0,32411.883481047917
2311,Run_2312,40.0,500.0,550.0,0.0032,100.0,32343.39753949944
2312,Run_2313,40.0,500.0,660.0,1e-10,100.0,38538.234769414914
2313,Run_2314,40.0,500.0,660.0,1e-09,100.0,38633.501315911104
2314,Run_2315,40.0,500.0,660.0,1e-08,100.0,38729.25327459868
2315,Run_2316,40.0,500.0,660.0,1e-07,100.0,38785.828573050036
2316,Run_2317,40.0,500.0,660.0,1e-06,100.0,38859.822388568624
2317,Run_2318,40.0,500.0,660.0,1e-05,100.0,38885.97770343853
2318,Run_2319,40.0,500.0,660.0,0.0001,100.0,38886.940691471355
2319,Run_2320,40.0,500.0,660.0,0.0032,100.0,38796.29487955355
2384,Run_2385,40.0,600.0,550.0,1e-10,100.0,31983.88549586832
2385,Run_2386,40.0,600.0,550.0,1e-09,100.0,31836.78501292404
2386,Run_2387,40.0,600.0,550.0,1e-08,100.0,32173.217880545413
2387,Run_2388,40.0,600.0,550.0,1e-07,100.0,32265.185511921725
2388,Run_2389,40.0,600.0,550.0,1e-06,100.0,32290.632421142407
2389,Run_2390,40.0,600.0,550.0,1e-05,100.0,32354.70853427218
2390,Run_2391,40.0,600.0,550.0,0.0001,100.0,32411.262224615675
2391,Run_2392,40.0,600.0,550.0,0.0032,100.0,32325.191726123827
2392,Run_2393,40.0,600.0,660.0,1e-10,100.0,38531.17788193961
2393,Run_2394,40.0,600.0,660.0,1e-09,100.0,38647.10275899984
2394,Run_2395,40.0,600.0,660.0,1e-08,100.0,38730.99878960771
2395,Run_2396,40.0,600.0,660.0,1e-07,100.0,38740.7919714165
2396,Run_2397,40.0,600.0,660.0,1e-06,100.0,38851.70944934046
2397,Run_2398,40.0,600.0,660.0,1e-05,100.0,38894.50474860378
2398,Run_2399,40.0,600.0,660.0,0.0001,100.0,38884.443830565964
2399,Run_2400,40.0,600.0,660.0,0.0032,100.0,38799.31420729612
2464,Run_2465,40.0,800.0,550.0,1e-10,100.0,31974.300013128235
2465,Run_2466,40.0,800.0,550.0,1e-09,100.0,31964.439747374177
2466,Run_2467,40.0,800.0,550.0,1e-08,100.0,32223.26556992304
2467,Run_2468,40.0,800.0,550.0,1e-07,100.0,32234.554089218935
2468,Run_2469,40.0,800.0,550.0,1e-06,100.0,32306.038620922274
2469,Run_2470,40.0,800.0,550.0,1e-05,100.0,32358.172074102076
2470,Run_2471,40.0,800.0,550.0,0.0001,100.0,32404.627742849392
2471,Run_2472,40.0,800.0,550.0,0.0032,100.0,32305.56102046899
2472,Run_2473,40.0,800.0,660.0,1e-10,100.0,38526.367656851275
2473,Run_2474,40.0,800.0,660.0,1e-09,100.0,38630.764442167616
2474,Run_2475,40.0,800.0,660.0,1e-08,100.0,38750.86798460721
2475,Run_2476,40.0,800.0,660.0,1e-07,100.0,38771.99451722838
2476,Run_2477,40.0,800.0,660.0,1e-06,100.0,38860.45713432459
2477,Run_2478,40.0,800.0,660.0,1e-05,100.0,38904.631812409934
2478,Run_2479,40.0,800.0,660.0,0.0001,100.0,38903.27962461169
2479,Run_2480,40.0,800.0,660.0,0.0032,100.0,38807.46188004205
2544,Run_2545,40.0,900.0,550.0,1e-10,100.0,31965.99972049008
2545,Run_2546,40.0,900.0,550.0,1e-09,100.0,31985.968096602348
2546,Run_2547,40.0,900.0,550.0,1e-08,100.0,32218.749730393927
2547,Run_2548,40.0,900.0,550.0,1e-07,100.0,32224.611051209322
2548,Run_2549,40.0,900.0,550.0,1e-06,100.0,32312.08494146151
2549,Run_2550,40.0,900.0,550.0,1e-05,100.0,32358.033833859095
2550,Run_2551,40.0,900.0,550.0,0.0001,100.0,32400.626495490258
2551,Run_2552,40.0,900.0,550.0,0.0032,100.0,32297.03223974156
2552,Run_2553,40.0,900.0,660.0,1e-10,100.0,38556.93774062673
2553,Run_2554,40.0,900.0,660.0,1e-09,100.0,38575.42795583803
2554,Run_2555,40.0,900.0,660.0,1e-08,100.0,38765.28164659902
2555,Run_2556,40.0,900.0,660.0,1e-07,100.0,38799.4256038479
